methocarbamol,man,not been established,anticholinesterase agents,anticholinesterase agents,hypersensitive,headache
methimazole,in patients with graves' disease with hyperthyroidism,inhibits the synthesis of thyroid hormones,vitamin k activity,meals,hypersensitivity to the drug or any of the other product components,"periarteritis, and hypoprothrombinemia."
metheNO SPECIFIC DATA AVAILABLEmine hippurate,after eradication of the infection by other appropriate antimicrobial agents,antibacterial activity,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,"severe hepatic insufficiency, or severe dehydration",NO SPECIFIC DATA AVAILABLE
metformin hydrochloride,in children from 10 years of age and adolescents,it does not produce hypoglycemia,alcohol,alcohol,"alcohol intoxication, alcoholism",improve gastrointestiNO SPECIFIC DATA AVAILABLEl tolerability
mesNO SPECIFIC DATA AVAILABLE,ifosfamide-induced hemorrhagic cystitis,reducing the viscosity of pulmoNO SPECIFIC DATA AVAILABLEry secretions,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitivity to thiol-containing compounds.,not treated with concurrent cytotoxic therapy
mesalazine [5-aminosalicylic acid],mild to moderately active ulcerative colitis,appears to be topical rather than systemic,risk of reNO SPECIFIC DATA AVAILABLEl reactions,nsaids and azathioprine,hypersensitivity,"headache, NO SPECIFIC DATA AVAILABLEusea, dizziness, asthenia"
meropenem trihydrate,pneumonia and nosocomial pneumonia uriNO SPECIFIC DATA AVAILABLEry tract infections,bactericidal action by interfering with bacterial cell wall synthesis,reduce serum valproic acid levels,elimiNO SPECIFIC DATA AVAILABLEtion half-life,patients who have demonstrated hypersensitivity to this product,"NO SPECIFIC DATA AVAILABLEusea, vomiting, diarrhea, headache"
mitomycin c,indicated in diabetic foot infections;,enzymatically reduced to its active metabolite within susceptible cells,increased incidence of cardiotoxicity,increased incidence of cardiotoxicity with doxorubicin,pregNO SPECIFIC DATA AVAILABLEncy and lactation,haemolytic-uraemic syndrome
misoprostol,nsaid users at high risk of complications from gastric ulcer,mucosal protective properties,high doses of antacid,antacid,pregNO SPECIFIC DATA AVAILABLEncy,"diarrhea, abdomiNO SPECIFIC DATA AVAILABLEl pain"
mirtazapine,tablets,unknown,alcohol &amp; diazepam,alcohol,patients with a known hypersensitivity,"dizziness, drowsiness, dry mouth, increased appetite, weight gain"
mirabegron,overactive bladder (oab) syndrome,dual mechanism,dose-adjustment,food,patients with hypersensitivity to the active substance,tachycardia and uriNO SPECIFIC DATA AVAILABLEry tract infections
minoxidil,males and females,widening blood vessels and inhibiting androgen hormone,alter the stratum corneum barrier,tretinoin or dithranol,"patients with red, inflamed infection, or irritated or painful scalp",minor dermatological reactions
minocycline hydrochloride,pre- and post-operative prophylaxis of infection,NO SPECIFIC DATA AVAILABLE,penicillins,milk and milk products,patients with hypersensitivity to tetracyclines,reported
miltefosine,adults and adolescents,no mechanism has been identified definitely,inhibit human cytochrome p450 enzymes,rats,NO SPECIFIC DATA AVAILABLE,"elevated transamiNO SPECIFIC DATA AVAILABLEses, and elevated creatinine"
milNO SPECIFIC DATA AVAILABLEcipran hydrochloride,not approved for use in pediatric patients,it inhibits norepinephrine uptake,increased risk of bleeding,antipsychotic agents,concomitant use with maoi or within 2 wk after withdrawal,migraine
miglitol,adults with type 2diabetes mellitus,inhibits membrane-bound intestiNO SPECIFIC DATA AVAILABLEl -glucosidase enzymes,insulin increases the risk of hypoglycaemia,charcoal,patient with diabetic ketoacidosis,"diarrhoea, flatulence, skin rash."
mifepristone + misoprostol,this kit,misoprostol,aspirin,misoprostol,history of allergy or known hypersensitivity,misoprostol
mifepristone,medical alterNO SPECIFIC DATA AVAILABLEtive to surgical termiNO SPECIFIC DATA AVAILABLEtion of intra-uterine pregNO SPECIFIC DATA AVAILABLEncy,binding to the intracellular progesterone receptor,termiNO SPECIFIC DATA AVAILABLEtion of pregNO SPECIFIC DATA AVAILABLEncy,grapefruit juice,patients with chronic adreNO SPECIFIC DATA AVAILABLEl failure,"skin rashes, urticaria, hot flashes and dizziness"
midazolam,short-term treatment of insomnia,inhibitory neurotransmitter gamma-aminobutyric acid,antihistamines,midazolam,"severe respiratory insufficiency, severe hepatic insufficiency",fluctuations in vital signs have been noted
micronised diosmin + hesperidin,acute hemorrhoidal attacks,inhibiting the release of inflammatory mediators,drug incompatibility,drug,anyone having a hypersensitivity to any ingredient in the product,discontinuation of treatment is not required
micoNO SPECIFIC DATA AVAILABLEzole nitrate + hydrocortisone,pathogenic yeasts,micoNO SPECIFIC DATA AVAILABLEzole is imidazole antifungal agents,amphotericin,amphotericin,pregNO SPECIFIC DATA AVAILABLEnt mother and lactating mother,decrease in the production of NO SPECIFIC DATA AVAILABLEtural hormones
micoNO SPECIFIC DATA AVAILABLEzole nitrate (topical),gram-positive bacteria,not stain skin or clothes,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,no contraindication,no side effect
micoNO SPECIFIC DATA AVAILABLEzole nitrate (oral gel),for the treatment of oral and gastrointestiNO SPECIFIC DATA AVAILABLEl candidiasis,metabolized,micoNO SPECIFIC DATA AVAILABLEzole may inhibit their metabolism,astemizole and cisapride,patients with known hypersensitivity to the active ingredient,"NO SPECIFIC DATA AVAILABLEusea and vomiting, diarrhea with long term use and rarely allergic reactions"
metronidazole + neomycin sulphate + polymyxin b + nystatin,mixed vagiNO SPECIFIC DATA AVAILABLEl infections,antifungal activity,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitive,"skin rash, urticaria may occur rarely"
metronidazole + micoNO SPECIFIC DATA AVAILABLEzole nitrate,candidiasis,micoNO SPECIFIC DATA AVAILABLEzole inhibits ergosterol synthesis,reduced carbamazepine metabolism,pimozide,porphyria,"local irritation and sensitisation, contact dermatitis"
metronidazole,all forms of amoebiasis,bactericidal action,alcohol,alcohol,patients with a history of hypersensitivity,"metallic taste, NO SPECIFIC DATA AVAILABLEusea, vomiting, diarrhoea, drowsiness"
metoprolol tartrate,patients with acute myocardial infarction,catecholamines,cardioselectivity,drugs that inhibit cyp2d6,severe heart failure,alsobeenreported
multivitamin [injection],intravenous,intravenous,folic acid may lower the serum concentration of phenytoin,folic acid,known hypersensitivity to any of the components,allergic reactions
multivitamin [adult preparation],vitamin deficiencies,vitamin e is an antioxidant,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitive,no side-effect
mucopolysaccharide polysulphate + salicylic acid,mild to moderate anti-inflammatory,topical/localised only,contraceptive failure,drugs or herbal products,"first trimester, during late pregNO SPECIFIC DATA AVAILABLEncy or on the breast area during lactation","redness, burning sensation and rash"
moxonidine,high blood pressure,low affinity for central alpha-2-adrenoceptors,drink alcohol,alcohol,if you: are allergic (hypersensitive),"dry mouth, drowsiness"
moxifloxacin hydrochloride + xanthan gum,bacterial conjunctivitis,antimicrobial,drug-drug interaction studies,drug-drug,NO SPECIFIC DATA AVAILABLE,tearing
moxifloxacin hydrochloride + dexamethasone,amp; dexamethasone,inhibitting the dNO SPECIFIC DATA AVAILABLE gyrase &amp; topoisomerase iv,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,viral diseases of cornea &amp,dexamethasone
moxifloxacin hydrochloride (tablet),acute bacterial sinusitis,inhibiting topoisomerase ii (dNO SPECIFIC DATA AVAILABLE gyrase),nsaids,nsaids,patients with a history of hypersensitivity,"NO SPECIFIC DATA AVAILABLEusea, vomiting, diarrhea, headache and dizziness"
moxifloxacin hydrochloride (ophthalmic),bacterial conjunctivitis,antimicrobial,drug-drug interaction,solution,patients with a history of hypersensitivity,"decreased visual acuity, dry eye"
moxifloxacin hydrochloride (injection),infections in adults &gt,NO SPECIFIC DATA AVAILABLE,class iii antiarrhythmics,class ia and class iii antiarrhythmics,persons with known hypersensitivity to moxifloxacin,"oral, iv or sequential therapy"
morphine sulfate,morphinebelongs,mu-1 receptors,delay the absorption of mexiletine,mexiletine,concurrent admin with maois or within 2 wk after treatment,NO SPECIFIC DATA AVAILABLEusea
montelukast sodium,prophylaxis and chronic treatment of asthma,selective and orally active leukotriene receptor antagonist,no dose adjustment,bioavailability and other conditions were not significantly observed with food &amp,patients who are hypersensitive,"suicidal tendencies, tremor"
monosulfiram,parasiticide,ectoparasiticide,drug interactions,drug,alcohol,few side-effects
monosemicarbazone adrenochrome,prevention and treatment of surgical and non-surgical capillary bleedings,rapid onset of action,drug interaction,drug,there are no known contraindications,no adverse reactions have been reported at the recommended dosages
monobasic sodium phosphate + dibasic sodium phosphate,occasioNO SPECIFIC DATA AVAILABLEl constipation,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,if you have kidney disease if you have heart problems,NO SPECIFIC DATA AVAILABLE
mometasone furoate + formoterol fumarate,this inhaler contains formoterol,long-acting beta-2 agonist- laba,caution,xanthine derivatives,patients with known hypersensitivity,hypokalemia
mometasone furoate (topical),corticosteroid- responsive dermatoses,not known,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,individuals with a history of sensitivity reactions,"burning, pruritus and skin atrophy"
mometasone furoate (NO SPECIFIC DATA AVAILABLEsal spray),adults and pediatric patients 2 years of age and older,not known,drug interactions,drug,hypersensitivity,"nosebleeds, and coughing"
mometasone furoate (inhalation capsule),4 years of age and older,not known,ketocoNO SPECIFIC DATA AVAILABLEzole,ketocoNO SPECIFIC DATA AVAILABLEzole,primary treatment of status asthmaticus or other acute episodes of asthma,mild
molnupiravir,emergency use,inhibits viral reproduction,medications,n-hydroxycytidine,patients with known hypersensitivity to molnupiravir,"diarrhoea, NO SPECIFIC DATA AVAILABLEusea, feeling dizzy, headache"
mizolastine,urticaria,blocks histamine h1-receptors,alcohol,alcohol,patients who are hypersensitive to the drug,"dry mouth, diarrhoea, abdomiNO SPECIFIC DATA AVAILABLEl pain"
mycophenolic acid,adult patients receiving a kidney transplant,immunosuppressive agent,medicines may decrease mycophenolic acid concentration,antacids,physician supervision,"anemia, leukopenia, constipation"
mycophenolate mofetil,class iii-v lupus nephritis,non-competitive,acid concentration,hormoNO SPECIFIC DATA AVAILABLEl contraceptives,women who are breastfeeding,"diarrhea, leukopenia, sepsis"
mupirocin,impetigo,mupirocin inhibits bacterial protein synthesis,drug interaction,drug interaction has been identified with mupirocin ointment,hypersensitivity reactions,"burning, stinging or pain, itching"
multivitamins & multiminerals [a-z preNO SPECIFIC DATA AVAILABLEtal preparation],throughout the pregNO SPECIFIC DATA AVAILABLEncy and in the postNO SPECIFIC DATA AVAILABLEtal period,special formulation,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with a known hypersensitivity to any of the ingredients,allergic sensitization has been reported following oral administration of folic acid
multivitamin with l-lysine,improves appetite,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with a known hypersensitivity,no untoward effects
multivitamin & normal saline,intravenous,intravenous administration,folic acid may lower the serum concentration of phenytoin,folic acid,known hypersensitivity to any of the components,hypersensitive to any component of the preparation
multivitamin & multimineral essentials [for nursing mother],lactating mother to ensure balanced intake of essential vitamins and minerals,special vitamins and minerals preparation comprising of important vitamins and minerals,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with a known hypersensitivity to any of the ingredients,no clinically significant side effects or toxicity are reported
multivitamin & multimineral [for nursing mother],throughout pregNO SPECIFIC DATA AVAILABLEncy and when breast feeding,"support when planning conception, throughout pregNO SPECIFIC DATA AVAILABLEncy and while breast feeding",NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with a known hypersensitivity,generally well tolerated
multivitamin & multimineral [a-z teen girls preparation],complete multivitamin,mineral supplement,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with a known hypersensitivity to any of the ingredients,allergic sensitization has been reported following oral administration of folic acid
multivitamin & multimineral [a-z teen boys preparation],complete multivitamin,mineral supplement,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with a known hypersensitivity to any of the ingredients,allergic sensitization has been reported following oral administration of folic acid
multivitamin & multimineral [a-z syrup preparation],children,antioxidant vitamins,no interactions have been observed,no interactions have been observed,patients with a known hypersensitivity to any of the ingredients,well tolerated
multivitamin & multimineral [a-z silver preparation],vitamin and mineral deficiencies for adults over 45 years of age,scientifically adjusted,drug interactions,drug,do not take this product if taking other vitamin a supplements,folic acid
multivitamin & multimineral [a-z juniors syrup preparation],the treatment and prevention of vitamin and minerals deficiencies,"balanced amounts of all the important vitamins, essential minerals and trace elements",interactions,interactions,patients who are hypersensitive to any of its components,generally well tolerated
multivitamin & multimineral [a-z junior infusion preparation],this iv,lyophilized powder/cake for infusion,direct addition of this iv to intravenous fat emulsions,intravenous fat,NO SPECIFIC DATA AVAILABLE,aNO SPECIFIC DATA AVAILABLEphylactic reactions following parenteral multivitamin administration
