,generic_name,use_cases,mechanism_of_action,drug_interactions,food_interactions,contraindications,side_effects
939,isopropamide + trifluoperazine,wide range of gastrointestinal disorders,trifluoperazine,reverses antihypertensive effect of guanethidine,lithium,nausea and vomiting are believed to be evidence of intestinal obstruction or brain tumor,anticholinergic
940,isoniazid,tuberculosis,inhibits the synthesis of mycoloic acids in susceptible bacteria,toxicity,increased metabolism of enflurane,hypersensitivity,"loss of appetite, nausea, vomiting, stomach pain"
941,isoflurane,not been developed to establish its application in obstetrical anesthesia.,all commonly used muscle relaxants,ace inhibitors,ace inhibitors,porphyria,"nausea, vomiting, shivering, dose-dependent hypotension"
942,irrigating solution,chlorinated water for washing the eye,daily or emergency eye cleansing,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,no data available,NO SPECIFIC DATA AVAILABLE
943,iron sucrose injection [elemental iron],thisis,the sucrose component is eliminated mainly through urinary excretion,absorption of oral iron is reduced,oral,patients with evidence of iron overload,adverse reactions
944,iron polymaltose complex + vitamin b complex + zinc,zinc deficiencies,iron,ionic interaction,"phytates, oxalates, tannin",patients with a known hypersensitivity,oral iron preparations
945,iron polymaltose complex + folic acid + zinc sulfate,tablet,zinc keeps enzymes working and helps to metabolize proteins,ionic interaction,"phytates, oxalates, tannin",patients with a known hypersensitivity,"nausea, vomiting, constipation or diarrhoea"
946,iron polymaltose complex + folic acid + zinc + vitamin b-complex,"zinc, iron, folic acid, b-vitamins deficiency",b vitamins,drug interactions,drug,patients with a known hypersensitivity to any of the ingredients,allergic reactions
947,iron polymaltose complex,"before, during and after pregnancy and during lactation",it does not release any free radicals,ionic interactions,"phytates, oxalates, tannin",hypersensitivity,"nausea, vomiting, constipation or diarrhoea"
948,iron hydroxide polymaltose + folic acid + zinc sulfate monohydrate,zinc deficiencies,NO SPECIFIC DATA AVAILABLE,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,<NO SPECIFIC DATA AVAILABLE,<NO SPECIFIC DATA AVAILABLE
949,iron + folic acid + vitamin b complex + vitamine c + zinc sulfate,prophylaxis,vitamin b complex,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE>,patients with a known hypersensitivity to any of the ingredients,allergic reactions
950,iron + folic acid + vitamin b complex + vitamin c,prophylaxis,conversion of folic acid to folinic acid,absorption of all these may be impaired,antacids and tetracycline,haemachromatosis and haemosiderosis,allergic reactions
951,iron + folic acid + vitamin a + vitamin c + zinc,bangladesh,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE>,"thalassemia, sickle cell anemia, and hiv/aids",no side effect
952,irinotecan hydrochloride,metastatic carcinoma of the colon or rectum,inhibits the action of topoisomerase i,st john's wort,st john's wort,patients with a known hypersensitivity to the drug or its excitements,vasodilation
953,irbesartan + hydrochlorothiazide,amp,hydrochlorothiazide,alcohol,alcohol,patients with diabetes,hydrochlorothiazide
954,l-lysine hydrochloride,"infection in cuts, wounds abrasion, surgical incisions and burns",promotes healing of wounds by active and controlled regeneration of in-situ cells,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitivity to the amino acid,slight itching sensation
955,ketotifen fumarate (oral),prophylactic treatment of bronchial asthma,selective mast cell stabilizer administered by inhalation,platelet count,platelet count,pregnancy or when breast feeding,dry mouth and slight dizziness
956,ketotifen fumarate (ophthalmic),allergic conjunctivitis,non-competitive histamine (h1) receptor blocking property,an interval of at least 5 minutes between the two medications,eye drops,hypersensitivity,"dry eyes, eyelid disorder, conjunctivitis, eye pain"
957,ketorolac tromethamine (ophthalmic),ocular surgery,secondary to inhibition of prostaglandin biosynthesis,no information available,no information available,patients with previously demonstrated hypersensitivity,superficial ocular infections
958,ketorolac tromethamine,moderate to severe acute post-operative pain,inhibiting the cyclooxygenase enzyme system,side effects,nsaids or aspirin,children under 16 years of age,"nausea, vomiting, gastro-intestinal bleeding"
959,ketoprofen (topical),mild to moderate local pain,analgesic and antipyretic actions,serum concentrations,serum,eczema or acne; or in infected skin or open wounds,"nausea, abdominal pain, vomiting, and flatulence"
960,ketoprofen (oral & injection),regardless of the origin,analgesic and antipyretic actions,plasma clearance,plasma clearance,severe heart failure,"nausea, abdominal pain, vomiting"
961,ketoconazole (tablet),maintenance treatment to prevent recurrence in systemic mycotic infections,blocking fungal cyp450,reduced absorption,cyp3a4 substrates,pregnancy and in patients with acute liver pathology,nausea and itching may occasionally occur
962,ketoconazole (shampoo),infections,antifungal agent,no information,no information was found for the shampoo,patients with known hypersensitivity,"a local burning sensation, itching or contact dermatitis"
963,ketoconazole (cream),dermatophyte infections,interacts with 14--sterol demethylase,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,patients with knownhypersensitivity to ketoconazole,"wereskin application site burning sensation, erythema and pruritus"
964,ketamine,diagnostic and surgical procedures that do not require skeletal muscle relaxation,cortex and limbic system,thyroid hormones,apnoea,patients with increased intraocular or csf pressure,"nausea, vomiting, lacrimation"
965,kanamycin,serious infections caused by bacteria,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE
966,ivermectin (topical),6 months of age and older,glutamate-gated chloride channels,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,conjunctivitis ocular hyperemia eye irritation
967,ivermectin (tablet),1427 patients in onchocerciasis-endemic areas of west africa,death of the parasite,increased inr,warfarin,patients who are hypersensitive,hypotension
968,ivabradine,contra-indication to the use of beta-blockers,selective and specific inhibition of the cardiac pacemaker i f current,cardiovascular and non cardiovascular qt wave prolonging medicinal products,cardiovascular,"cardiogenic shock, acute myocardial infarction","headaches, and dizziness"
969,itraconazole,"tinea corporis, tinea cruris, tinea pedis",itraconazole inhibits cytochrome p-450 dependent enzymes,metabolism of cyclosporine and warfarin,midazolam,patients with a known history of hypersensitivity to it,raised liver enzymes
970,isradipine,concurrently with thiazide-type diuretics,dihydropyridine calciumchannel blocker,reduced plasma concentrations,concurrent admin with enzyme-inducing drugs,hypertensive crisis,"polyuria, fatigue, malaise"
971,ispaghula husk + ispaghula seed + tinnevelly senna pods,constipation,<NO SPECIFIC DATA AVAILABLE>,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,<NO SPECIFIC DATA AVAILABLE>,<NO SPECIFIC DATA AVAILABLE>
972,ispaghula [psyllium] husk,in- constipation,<NO SPECIFIC DATA AVAILABLE>,no significant interaction has been observed with other medicine,medicine,patients with gastrointestinal tract obstruction or threatening obstruction of the bowel,"flatulence, abdominal distension, gastro-intestinal obstruction"
973,lanthanum carbonate,patients with end-stage renal disease,phosphate binder,do not administer such compounds,quinolone intake,"bowel obstruction, including ileus and fecal impaction","constipation, dyspepsia, allergic skin reactions"
974,lansoprazole + amoxicillin + clarithromycin,indicated for the eradication of h. pylori,inhibiting the synthesis of bacterial cell walls,interactions,terfenadine,patients with known hypersensitivity,adverse reactions
975,lansoprazole,short term treatment of active duodenal ulcer,block the final step of acid secretion,reduction in gastric acid,vitamin b12,patients with known hypersensitivity to any component of the formulation,rise in serum gastrin
976,lamotrigine,adults with bipolar disorder,not fully elucidated,oral contraceptives,oral,NO SPECIFIC DATA AVAILABLE>,"dizziness, tremor, headache, rash, blurred vision"
977,lamivudine + zidovudine + nevirapine,nevirapine 200 mg twice daily,amp,antiviral activity,stavudine may decrease antiviral activity; valproic acid,hypersensitivity,nevirapine
978,lamivudine + zidovudine,hiv-1 infection,intracellularly,intracellular phosphorylation of one another,zalcitabine,patients with low body weight,"chills, fever, pale skin; sore throat"
979,lamivudine [for hiv infection],lamivudine in combination with other antiretroviral agents,phosphorylated intracellularly,use of lamivudine in combination with zalcitabine,zalcitabine,hypersensitivity,blood and lymphatic systems disorders
980,lamivudine [for chronic hepatitis b],associated with evidence of hepatitis b viral replication and active liver inflammation,dna chain is terminated,higher doses of trimethoprim /sulfamethoxazole,trimethoprim,patients hypersensitive to any of the components of the product,post treatment exacerbations
981,lactulose,lactulose is only to be taken when these measures prove insufficient,minimally absorbed,drug interactions,drug,suspected intestinal obstruction,loss of electrolytes
982,lactobacillus rhamnosus gg,bowel problems (such asdiarrhea,NO SPECIFIC DATA AVAILABLE>,without your doctor's approval,"do not start, stop, or change the dosage of any medicines",NO SPECIFIC DATA AVAILABLE>,a very serious allergic reaction to this product is rare
983,lactitol monohydrate,acute and chronic portal systemic encephalopathy,it is absorbed only in minimal amounts,antacids,antacids,patients with known hypersensitivity,diminish or disappear
984,lactic acid + sodium pca,zinc oxide,keratolytic agent,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitivity,no side effects
985,lactic acid + citric acid + potassium bitartrate,on-demand method of contraception,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,<NO SPECIFIC DATA AVAILABLE>,"dysuria, and vulvovaginal pain"
986,lactase,prevention of symptoms of lactose,hydrolysis and making dairy foods easier to digest,interactions,lactase,patients with known hypersensitivity,there are no major side effects reported
987,lacosamide,only in adult patients,inhibition of sodium channels,concomitant medications that prolong pr interval,beta-blockers and calcium channel blockers,none,"diplopia, headache, dizziness, nausea"
988,lacidipine,either alone or in combination with other antihypertensive agents,competitive inhibition of voltage-dependent calcium 'l' channels,no specific pharmacodynamic interaction problems,"digoxin, tolbutamide or warfarin",avoid within 1 month of myocardial infarction,"flushing, palpitation, edema, headache, dizziness"
989,labetalol hydrochloride (tablet),alone or in combination with other antihypertensive agents,intravenous administration,calcium antagonists,nitroglycerin,NO SPECIFIC DATA AVAILABLE,mild and transient and occur early in the course of treatment
990,labetalol hydrochloride (injection),hypertension,b-blocking action,class i antiarrhythmic agents,cimetidine,second or third degree heart block,liver damage
991,l-ornithine l-aspartate + pancreatin,improvement,not frequently used as there are still some reservations about its benefits,increase your risk for side-effects or cause your drug not to work properly,drugs or over the counter products,gastrectomy hypersensitivity pancreatectomy pregnant,nausea vomiting abdominal stomach pain bloating diarrhea
992,l-ornithine l-aspartate,adjunct to hepatotoxic drugs,endogenous amino acids,interactions,l-ornithine l-aspartate,NO SPECIFIC DATA AVAILABLE,nausea and vomiting occur
993,levodopa + benserazide,benserazide,peripheral decarboxylase inhibitor,<NO SPECIFIC DATA AVAILABLE>,<NO SPECIFIC DATA AVAILABLE,patients with known hypersensitivity,<NO SPECIFIC DATA AVAILABLE
994,levocetirizine dihydrochloride,allergic conditions,rapid and long-acting action,interactions with other drugs,drugs,patients with severe renal impairment,"headache, dry mouth, fatigue and skin rash"
995,levocarnitine,chronic fatigue syndrome heart diseases,delivering substrate for oxidation and subsequent energy production,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,"transient nausea and vomiting, abdominal cramps, and diarrhoea"
