generic_name,contraindications_description,contraindication_result
nikethamide,"porphyria, epilepsy or other convulsive disorders, cerebral oedema, cerebrovascular accident, head injury, acute severe asthma, physical obstruction of the airway, severe hypertension, ischaemic heart disease, hyperthyroidism, phaeochromocytoma.","hyperthyroidism, phaeochromocytoma."
nifedipine,"cardiogenic shock, advanced aortic stenosis, nursing mothers, gi obstruction, inflammatory bowel disease, hypotension.","gi obstruction, inflammatory bowel disease, hypotension."
nicotinic acid [niacin],"niacin is contraindicated in patients with a known hypersensitivity to niacin or any component of this medication, significant or unexplained hepatic dysfunction, active peptic ulcer disease or arterial bleeding.",known hypersensitivity to niacin or any component of this medication
nicorandil,"nicorandil tablet is contra-indicated in patients who have shownhypersensitivity to nicorandil. use is contra-indicated with cardiogenic shock and acutemyocardial infarction with acute left ventricular failure and low filling pressures, in patients withhypotension, and in patients taking phosphodiesterase-5 inhibitors because concurrent use ofnicorandil can lead to a serious drop in blood pressure. warnings and precautions: nicorandilshould be used with caution in patients who may have blood volume depletion or in those whopresent with low systolic blood pressure (below 100 mm hg). the use of the drug in patients withcardiogenic shock, or acute myocardial infarction with acute left ventricular failure and low fillingpressures should be avoided. nicorandil should be discontinued and appropriate measures takenif mouth ulceration, stomatitis or persistent or severe buccal ulcerations, appear. caution isadvised for the use of nicorandil in patients with glaucoma. the hypotensive effect of othervasodilators, tricyclic antidepressants or alcohol can be increased by administration incombination with nicorandil. therapeutic doses of nicorandil may lower the blood pressure ofhypertensive patients and nicorandil therefore, as with other antianginal agents, should be usedwith care when prescribed with antihypertensive drugs. animal mutagenicify and carcinogenicitystudies have not revealed any adverse effect of nicorandil when used under experimentalconditions.",patients who have shownhypersensitivity to nicorandil
nevirapine,hypersensitivity. lactation. severe hepatic impairment.,hypersensitivity. lactation. severe hepatic impairment.
netarsudil dimesylate,no data available,no data available
netarsudil + latanoprost,this eye drops is contraindicated in patients who are hypersensitive to any component of this preparation.,hypersensitive
neratinib,it is contraindicated in patients with known hypersensitivity to neratinib or any other components of this product.,hypersensitivity to neratinib
nepafenac,contraindicated in patients with previously demonstrated hypersensitivity to any of the ingredients in the formulation or to other nsaids.,ingredients in the formulation or to other nsaids
neostigmine methyl sulphate,neostigmine is contraindicated in patients with known hypersensitivity to the drug. it is also contraindicated in patients with peritonitis or mechanical obstruction of the intestinal or urinary tract.,peritonitis or mechanical obstruction
neomycin sulphate + polymyxin b sulphate + pramoxine,"neomycin, polymyxin b and pramoxine hcl cream should not be administered to individuals who are hypersensitive to neomycin, polymyxin b, pramoxine or any other components of this product.",hypersensitive
neomycin sulfate + bacitracin zinc + polymyxin b sulfate (ophthalmic),hypersensitivity,hypersensitivity
neomycin sulfate + bacitracin zinc + polymyxin b sulfate,"this ointment should not be used in individuals who have shown sensitivity to any of the components. a possibility of increased absorption exists in very young children, thus this ointment is not recommended for use in neonates.",a possibility of increased absorption exists in very young children
neomycin sulfate + bacitracin zinc,hypersensitivity to any of its components.,hypersensitivity to any of its components
obeticholic acid,contraindicated in patients known to have hypersensitivity to the drug or any of its components &amp; in patients with complete biliary obstruction.,in patients known to have hypersensitivity to the drug
nystatin (topical),nystatin cream is contraindicated in patients with a history of hypersensitivity to any of its components.,hypersensitivity to any of its components
nystatin (oral),there is no known contraindication to the use of nystatin.,no known contraindication to the use of nystatin
nortriptyline,nortriptyline is contraindicated in patients with hypersensitivity to nortriptyline. concomitant administration with maoi is contraindicated. do not use with or within 2 weeks of stopping an maoi. nortriptyline is contraindicated during the acute recovery period after myocardial infarction.,concomitant administration with maoi
norgestrel + ethinyl estradiol + ferrous fumarate,"pregnancy, undiagnosed vaginal bleeding, severe arterial disease (or family history of atherogenic lipid profile); liver adenoma; porphyria; after evacuation of hydatidiform mole; history of breast cancer; hepatic impairment; thrombophloebitis or thromboembolic disorders; breast carcinoma except in selected patients being treated for metastatic disease; oestrogen-dependent tumour; smoking &gt;40 cigarettes daily; &gt;50 yr; diabetes complications present; bmi &gt;39 kg/m2; migraine with typical focal aura, lasting &gt;72 hr despite treatment or migraine treated with ergot derivatives; bp &gt;160 mmhg systolic and 100 mmhg diastolic; transient ischaemic attacks without headaches; sle; gallstones; history of haemolytic uraemic syndrome, pruritis during pregnancy; cholestatic jaundice; chorea or deterioration of otosclerosis pemphigoid; breast feeding during 1 st 6 mth after delivery.","pregnancy, undiagnosed vaginal bleeding, severe arterial disease"
norgestrel,"norgestrel tablet is contraindicated for use by women who are known to have the following conditions: known or suspected pregnancy known or suspected carcinoma of the breast, or other progestin-sensitive cancer, now or in the past undiagnosed abnormal uterine bleeding hypersensitivity to any component of this product benign or malignant liver tumors",known or suspected pregnancy
